Entr,Row,Col,05-Aug,04-Sep,Cruza,Historial,Peso,Humedad,Percent1,Percent2,KgHa,t
817,17,33,,s,CHIBIA//PRLII/CM65531/3/SKAUZ/BAV92/4/MUNAL #1,CMSS07Y00066S-0B-099Y-099M-099Y-7M-0WGY,879,150,76,76,2868,
818,17,34,,,ATTILA/3*BCN*2//BAV92/3/HEILO/4/CHIBIA//PRLII/CM65531/3/SKAUZ/BAV92,CMSS07B00695T-099TOPY-099M-099Y-099M-1RGY-0B,1080,149,93,94,3523,
819,17,35,,,WBLL1*2/KKTS//KIRITATI,CMSS07Y00328S-0B-099Y-099M-099NJ-099NJ-3RGY-0B,965,145,83,84,3148,
820,17,36,,,ITAPUA 85,,1157,151,100,,3774,
821,17,37,,,BABAX/LR42//BABAX*2/3/TUKURU*2/4/HEILO,CMSS07B00701T-099TOPY-099M-099Y-0B-5RGY-0B,874,153,76,72,2851,
822,17,38,,,CROC_1/AE.SQUARROSA (224)//OPATA/3/ALTAR 84/AEGILOPS SQUARROSA (TAUS)//OPATA/4/PASTOR/5/SOKOLL,CMSA06Y00112S-040ZTP0Y-040ZTM-040SY-31ZTM-0Y-0B,890,151,77,73,2903,
823,17,39,,,KRICHAUFF/2*PASTOR/4/CROC_1/AE.SQUARROSA (224)//2*OPATA/3/2*RAC655/5/PARUS/PASTOR,CMSA06M00015T-036(CSLV34HET)Y-040ZTM-040ZTY-24ZTM-0Y-0B,975,154,84,80,3181,
824,17,40,,,SKAUZ*2/FCT//VORB,CMSA06M00656S-040ZTM-040ZTY-44ZTM-0Y-0B,940,151,81,77,3067,
825,17,41,,,VORB/4/D67.2/PARANA 66.270//AE.SQUARROSA (320)/3/CUNNINGHAM/5/D67.2/PARANA 66.270//AE.SQUARROSA (320)/3/CUNNINGHAM,CMSA06Y00835T-040ZTM-040ZTP0Y-040ZTM-040P0Y-38ZTM-0Y-0B,826,142,71,68,2695,
826,17,42,,s,ND643//2*PRL/2*PASTOR*2/3/HEILO,CMSS08B00959T-099TOPY-099M-099Y-099B-3RGY,1039,153,81,85,3389,
